country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Oman,18.3,17.9,16.5,17.1,18.1,17.6,19.4,19.8,23.6,21.2,19.9
Pakistan,78.8,79.5,71.8,76.7,75.3,74.4,70.0,69.3,66.5,65.2,61.5
Panama,31.9,32.9,30.9,33.6,29.6,30.4,32.6,35.8,30.9,25.2,24.9
Peru,41.3,42.1,42.4,41.3,41.2,40.6,43.7,41.5,37.7,42.3,46.0
Philippines,52.4,55.8,60.0,59.8,60.2,60.8,64.6,65.2,67.6,64.9,64.7
Palau,33.7,19.6,19.2,16.2,18.4,20.6,19.2,21.6,22.7,22.1,22.7
Papua New Guinea,18.3,17.2,20.3,21.0,19.5,20.3,22.4,28.0,24.5,29.4,28.4
Poland,30.0,28.1,28.8,30.1,31.4,30.6,30.0,29.1,27.7,27.7,27.4
Portugal,34.0,33.9,32.2,32.0,32.9,32.9,33.9,34.3,34.9,32.2,31.9
Paraguay,60.1,65.1,66.8,66.9,65.2,62.0,58.9,59.5,59.1,61.0,63.6
Qatar,31.2,27.8,27.7,17.9,18.3,18.7,19.3,19.8,20.5,21.6,22.6
Romania,32.3,34.1,33.3,15.2,24.9,19.1,20.1,17.7,17.9,21.0,21.9
Russia,40.1,41.3,41.0,41.2,40.4,38.0,36.8,35.8,35.7,36.6,37.9
Rwanda,60.8,51.1,47.7,47.3,46.4,43.6,53.5,53.0,52.6,51.4,49.9
Saudi Arabia,28.4,27.9,28.1,28.0,28.3,27.2,26.7,29.2,35.4,37.6,37.1
Sudan,72.7,72.4,71.8,70.3,68.0,65.6,66.8,66.8,66.9,72.5,70.2
Senegal,63.2,62.8,61.5,61.3,62.5,44.7,42.8,43.9,45.9,45.5,44.5
Singapore,48.6,54.9,62.8,64.3,69.3,69.6,69.9,70.2,68.1,63.9,63.7
Solomon Islands,5.43,4.13,4.19,8.03,8.33,5.91,7.25,7.6,8.84,6.47,6.61
Sierra Leone,86.8,85.7,85.5,70.9,89.3,87.4,88.5,92.8,90.5,89.5,88.7
El Salvador,54.8,54.5,53.4,52.7,50.7,47.4,38.0,40.9,40.6,39.7,38.3
San Marino,14.0,14.0,10.8,14.3,13.4,14.3,14.6,14.4,14.8,14.6,14.6
Somalia,55.2,55.4,,,,,,,,,
Serbia,30.0,31.5,27.4,29.1,31.1,34.0,37.0,38.6,38.0,38.1,38.1
Sao Tome and Principe,61.9,63.1,63.6,48.9,53.4,47.1,53.7,55.8,57.0,59.9,61.7
Suriname,51.2,52.0,50.3,49.3,51.6,48.8,48.9,50.3,54.0,49.0,52.2
Slovak Republic,10.6,10.7,10.9,11.7,26.2,25.6,31.7,33.1,32.2,34.3,34.1
Slovenia,26.0,26.7,26.6,28.1,26.9,27.9,27.7,27.7,26.6,26.6,26.3
Sweden,15.1,18.9,18.6,18.0,18.6,18.8,18.9,18.6,18.5,18.5,18.9
Eswatini,43.7,42.6,40.1,35.0,39.7,38.6,35.5,37.2,35.7,33.5,36.3
Seychelles,17.3,14.9,12.9,10.1,8.03,6.8,6.58,7.94,7.51,7.28,8.13
Syria,59.5,55.8,54.2,51.8,52.0,49.5,51.5,51.0,53.5,54.0,54.0
Chad,57.5,60.2,69.0,53.2,64.4,58.9,67.9,76.7,78.4,80.3,75.0
Togo,68.9,76.3,81.3,75.5,75.2,70.5,67.7,68.3,64.7,57.0,55.8
