country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Morocco,49.4,47.3,45.3,43.4,41.6,39.8,38.1,36.5,35.0,33.5,32.0
Monaco,5.16,4.99,4.85,4.71,4.59,4.48,4.38,4.28,4.18,4.09,4.0
Moldova,31.3,28.3,25.4,23.0,21.1,19.7,18.8,18.1,17.7,17.4,17.2
Madagascar,107.0,102.0,96.2,91.2,86.8,82.8,79.2,75.9,72.8,70.0,67.3
Maldives,39.2,34.9,30.9,27.4,27.1,21.7,19.5,17.7,16.2,14.9,13.8
Mexico,26.4,25.0,23.6,22.5,21.4,20.5,19.7,19.0,18.4,17.9,17.4
Marshall Islands,40.7,40.6,40.5,40.3,40.1,40.0,39.8,39.6,39.3,39.1,38.9
North Macedonia,15.8,14.9,14.5,14.4,14.1,13.6,13.1,12.4,11.7,10.9,10.2
Mali,188.0,182.0,176.0,169.0,163.0,157.0,152.0,147.0,141.0,136.0,131.0
Malta,7.59,7.34,7.15,7.0,6.9,6.83,6.79,6.78,6.78,6.79,6.81
Myanmar,89.1,86.7,84.3,81.8,79.3,76.7,74.0,71.4,88.9,66.0,63.3
Montenegro,14.2,13.6,13.0,12.2,11.4,10.6,9.71,8.85,8.01,7.21,6.44
Mongolia,63.7,58.9,54.1,49.6,45.4,41.5,37.9,34.5,31.4,28.6,26.1
Mozambique,171.0,163.0,154.0,147.0,140.0,134.0,128.0,121.0,114.0,108.0,105.0
Mauritania,114.0,113.0,113.0,112.0,111.0,110.0,108.0,105.0,103.0,99.8,97.1
Mauritius,18.6,17.1,16.1,15.7,15.6,15.7,15.9,16.0,15.8,15.4,15.2
Malawi,173.0,160.0,146.0,133.0,121.0,113.0,107.0,103.0,97.8,93.2,88.4
Malaysia,10.2,9.48,8.93,8.54,8.3,8.13,8.0,7.91,7.89,7.91,7.94
Namibia,77.1,77.7,78.0,78.1,77.5,73.1,67.3,61.2,54.1,50.7,48.3
Niger,226.0,217.0,206.0,195.0,183.0,172.0,161.0,150.0,140.0,131.0,123.0
Nigeria,185.0,179.0,173.0,167.0,162.0,156.0,151.0,146.0,142.0,138.0,135.0
