country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Slovenia,1070.0,1160.0,1250.0,1270.0,1360.0,1420.0,1520.0,1530.0,1790.0,1870.0,1880.0
Sweden,1940.0,2030.0,2200.0,2320.0,2400.0,2410.0,2590.0,2790.0,2970.0,3030.0,3050.0
Eswatini,110.0,113.0,121.0,155.0,139.0,158.0,189.0,183.0,212.0,224.0,212.0
Seychelles,664.0,651.0,639.0,685.0,741.0,668.0,712.0,679.0,660.0,660.0,722.0
Syria,65.9,73.1,78.9,87.7,83.1,85.8,81.3,86.9,76.7,83.8,80.1
Chad,17.7,17.6,19.4,23.9,21.2,26.7,17.9,13.5,10.6,11.9,15.4
Togo,11.3,9.47,7.15,11.1,13.3,16.3,20.4,20.0,22.9,31.9,34.0
Thailand,92.9,94.1,125.0,132.0,142.0,153.0,182.0,210.0,242.0,244.0,247.0
Tajikistan,8.13,9.1,9.55,10.7,12.5,17.2,18.5,21.1,26.5,30.7,34.2
Turkmenistan,66.2,70.7,71.0,93.6,99.8,96.2,83.7,85.5,73.7,107.0,118.0
Timor-Leste,47.7,52.0,50.5,52.7,58.6,83.9,93.1,82.5,78.7,68.1,46.9
Tonga,115.0,156.0,145.0,167.0,163.0,235.0,204.0,248.0,238.0,167.0,187.0
Trinidad and Tobago,206.0,256.0,348.0,403.0,437.0,601.0,623.0,595.0,569.0,888.0,868.0
Tunisia,160.0,162.0,164.0,177.0,198.0,208.0,231.0,246.0,269.0,263.0,262.0
Turkey,286.0,303.0,328.0,338.0,389.0,421.0,512.0,570.0,664.0,719.0,774.0
Tuvalu,325.0,379.0,347.0,494.0,393.0,415.0,464.0,443.0,567.0,388.0,472.0
Tanzania,10.9,12.7,12.8,16.5,14.7,19.6,42.8,43.6,42.9,48.4,56.2
Uganda,12.2,14.1,17.0,17.9,16.4,20.9,20.9,19.7,20.1,25.7,27.0
Ukraine,95.4,114.0,141.0,182.0,203.0,214.0,243.0,275.0,280.0,273.0,294.0
Uruguay,520.0,502.0,455.0,395.0,363.0,404.0,456.0,490.0,623.0,718.0,797.0
USA,2030.0,2230.0,2410.0,2610.0,2790.0,2950.0,3170.0,3360.0,3550.0,3800.0,4440.0
Uzbekistan,36.2,38.7,38.5,39.9,41.7,46.0,54.3,56.7,68.7,80.3,87.4
St. Vincent and the Grenadines,192.0,204.0,238.0,248.0,255.0,262.0,315.0,358.0,438.0,411.0,403.0
Venezuela,200.0,213.0,178.0,165.0,204.0,232.0,264.0,326.0,308.0,294.0,206.0
Vietnam,22.8,26.5,25.4,29.5,29.3,33.1,50.2,73.0,63.1,76.4,81.5
Vanuatu,92.0,90.3,89.3,87.6,85.5,83.4,95.2,132.0,160.0,189.0,217.0
Samoa,125.0,128.0,138.0,136.0,144.0,154.0,182.0,213.0,213.0,200.0,248.0
Yemen,47.9,53.8,53.8,59.8,44.1,39.4,42.0,41.2,43.5,36.9,29.5
South Africa,228.0,239.0,242.0,260.0,257.0,287.0,312.0,340.0,375.0,407.0,412.0
Zambia,26.5,32.2,41.5,41.7,41.3,44.5,47.6,42.9,50.7,52.8,54.4
Zimbabwe,36.7,21.5,,,,,,,,,
